"id_person_unique","id_fam1968","employed","emp_2023","sex","age_2021","emp_2021","educ_yrs_2021","days_unemp_2021","flourish_2021","soc_anxiety_2021","fam_expend_2021","female","emp_2021_working","log_fam_expend_2021","age_2023","food_ranout_2023","food_notlast_2023"
"2151_41",2151,1,1,2,25,1,14,0,14,3,31720,1,1,10.3647342011031,27,NA,NA
"2164_41",2164,1,1,1,25,1,13,0,13,3,46442.49,0,1,10.7459915837203,28,NA,NA
"2175_32",2175,1,1,2,25,1,17,0,16,2,66598.71,1,1,11.1064555021646,27,NA,NA
"2175_33",2175,1,1,1,24,1,16,0,15,4,47187.64,0,1,10.76190846464,26,NA,NA
"2177_36",2177,0,3,1,24,6,15,0,13,3,101515.5,0,0,11.5279766258286,26,NA,NA
"2181_45",2181,1,1,1,18,3,12,0,16,3,18576.03,0,0,9.82968115029025,20,2,2
"2191_40",2191,1,1,2,26,1,14,0,18,3,29009.89,1,1,10.275426555721,27,NA,NA
"2191_41",2191,1,2,2,23,1,16,0,11,2,35459.83,1,1,10.4761839860097,24,NA,NA
"2191_186",2191,1,1,2,21,1,14,0,17,4,33514,1,1,10.4197483787921,23,NA,NA
"2195_30",2195,0,3,2,22,6,10,0,8,5,19282.97,1,0,9.86702945983046,23,NA,NA
"2195_181",2195,1,1,1,25,1,12,0,16,4,22970,0,1,10.0419878297812,27,NA,NA
"2195_183",2195,1,1,2,24,1,12,0,6,5,50557.94,1,1,10.8308950634111,26,NA,NA
"2198_37",2198,1,1,2,23,1,12,0,10,4,43756.51,1,1,10.6864185341972,25,NA,NA
"2198_38",2198,1,1,1,16,7,10,NA,NA,NA,34772.35,0,0,10.4566065677867,18,NA,NA
"2210_36",2210,1,1,2,22,1,11,0,11,3,44800,1,1,10.7099857395825,24,NA,NA
"2219_178",2219,1,1,1,21,1,13,0,NA,NA,55626.6,0,1,10.9264347599492,23,NA,NA
"2224_44",2224,1,1,2,25,1,17,0,15,3,48815.91,1,1,10.7958320482117,27,NA,NA
"2224_45",2224,1,1,1,24,1,17,0,12,4,71240,0,1,11.1738237743629,26,NA,NA
"2224_46",2224,1,1,1,22,1,15,0,13,4,138072.12,0,1,11.8355386788882,24,3,3
"2237_31",2237,1,1,2,26,1,16,0,18,3,69380,1,1,11.1473683337955,28,NA,NA
"2237_32",2237,1,1,1,24,1,16,0,10,3,148359.57,0,1,11.9074008736021,26,3,3
"2237_33",2237,1,1,1,20,7,14,0,15,3,148359.57,0,0,11.9074008736021,22,NA,NA
"2243_34",2243,1,1,1,21,1,14,0,17,2,113600,0,1,11.6404475880473,23,NA,NA
"2243_35",2243,1,1,2,19,7,12,0,15,3,113600,1,0,11.6404475880473,21,3,2
"2246_31",2246,1,1,2,24,1,16,0,13,4,58429.91,1,1,10.9756003096185,26,NA,NA
"2248_34",2248,1,1,2,26,1,16,0,15,2,108800,1,1,11.5972758045382,27,3,3
"2248_38",2248,0,3,1,18,3,12,0,11,4,49712,0,0,10.8140217472979,20,NA,NA
"2250_47",2250,1,1,1,18,1,12,0,13,3,122480,0,1,11.7157111948965,20,NA,NA
"2252_32",2252,1,1,1,21,1,15,0,9,3,48330.86,0,1,10.7858462495114,23,NA,NA
"2255_33",2255,1,1,2,22,1,16,0,14,4,72611.27,1,1,11.1928891947971,24,NA,NA
"2256_32",2256,1,1,1,24,1,12,0,15,4,27192.98,0,1,10.210750904259,25,NA,NA
"2261_35",2261,1,1,2,21,1,14,0,15,3,53360,1,1,10.8848354210436,23,NA,NA
"2261_37",2261,1,1,1,18,1,12,0,13,4,24850,0,1,10.1206532721638,20,2,2
"2261_38",2261,1,1,1,18,1,12,0,11,3,65607.82,0,1,11.0914654171139,20,NA,NA
"2278_41",2278,1,1,2,26,1,12,0,14,4,44668,1,1,10.7070350277065,28,NA,NA
"2278_42",2278,1,1,1,26,1,13,0,12,1,36292.12,0,1,10.4993834706091,28,NA,NA
"2278_45",2278,1,1,2,21,1,12,0,15,5,35040,1,1,10.4642740834559,24,NA,NA
"2282_34",2282,1,1,1,23,1,13,0,15,3,48595.08,0,1,10.7912981481993,24,NA,NA
"2282_178",2282,1,1,2,26,1,17,0,14,3,65460,1,1,11.0892098244432,28,NA,NA
"2292_42",2292,1,1,2,16,1,9,NA,NA,NA,60566,1,1,11.0115054692783,18,3,2
"2297_34",2297,1,1,2,25,1,16,0,11,4,28484,1,1,10.2571329119145,27,NA,NA
"2297_35",2297,1,1,2,22,7,16,0,14,5,65763,1,0,11.0938278551308,24,NA,NA
"2297_36",2297,1,1,2,21,1,13,0,12,4,55292,1,1,10.9204015972197,23,3,3
"2302_53",2302,1,1,1,25,3,10,NA,NA,NA,27621.86,0,0,10.2263989697561,26,3,2
"2302_54",2302,1,1,1,20,3,12,0,6,3,82543.09,0,0,11.3210878538114,22,NA,NA
"2302_56",2302,1,1,1,19,1,12,0,14,5,21091.14,0,1,9.95665573821604,21,NA,NA
"2302_60",2302,0,3,1,17,7,10,NA,NA,NA,11600,0,0,9.35884658027541,19,NA,NA
"2304_34",2304,1,1,1,22,8,14,0,10,3,26953,0,0,10.2018869883291,24,NA,NA
"2312_32",2312,1,1,2,22,3,12,0,11,5,35917.45,1,0,10.4890063700374,24,NA,NA
"2312_33",2312,0,3,2,19,7,11,0,13,2,35917.45,1,0,10.4890063700374,21,NA,NA
"2327_33",2327,1,1,2,23,8,13,0,12,3,47860,1,0,10.776056255519,25,NA,NA
"2327_185",2327,1,1,1,20,1,13,0,10,3,47970.71,0,1,10.7783667411403,22,NA,NA
"2336_32",2336,1,1,1,21,1,15,0,11,3,36106,0,1,10.4942420313408,23,NA,NA
"2339_37",2339,1,1,1,22,1,12,0,15,4,62042.18,0,1,11.0355858732303,24,NA,NA
"2354_38",2354,1,1,1,17,5,8,0,10,4,20120,0,0,9.90951932476785,19,NA,NA
"2354_40",2354,1,1,2,16,7,10,NA,NA,NA,91448,1,0,11.4235367188221,18,NA,NA
"2383_30",2383,1,1,2,23,1,15,0,14,3,68145.02,1,1,11.1294080348324,25,NA,NA
