"person_id","ER30001","ER30002","ER32000","ER32006","year","volunteer","social_media","follow_interests","resp_earn","resp_rent","resp_bills","resp_money","wb_happiness","wb_interest","wb_satisfied","wb_belong","wb_society_better","wb_people_good","wb_manage_daily","wb_trusting_rel","wb_confident_ideas","wb_life_direction","feel_failure","emp1","cc_balance","cc_value","loan_federal","loan_state","loan_private","loan_other","edu_aspiration","edu_expectation","grade_level","hs_grad","attended_college","major","health","health_compare","health_better","learning_disorder","chronic","health_insurance","race","wellbeing_emo","wellbeing_soc","wellbeing_psy","social_anxiety","enrollment","highest_edu","mother_edu","father_edu","state","age","fam_income","interview_number","sequence_number","relation_rp","wb_happiness_lag","wb_interest_lag","wb_satisfied_lag","wb_belong_lag","wb_society_better_lag","wb_people_good_lag","wb_manage_daily_lag","wb_trusting_rel_lag","wb_confident_ideas_lag","wb_life_direction_lag","feel_failure_lag","wellbeing_emo_lag","wellbeing_soc_lag","wellbeing_psy_lag","social_anxiety_lag"
"1012_33",1012,33,2,2,2023,1,1,2,2,1,2,3,5,6,5,4,1,5,3,5,4,4,1,1,5,0,1,5,1,5,5,4,0,1,1,0,2,3,0,5,5,5,1,5,3,4,3,9,5,14,12,45,17,85050,4382,3,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1014_32",1014,32,1,2,2019,5,1,1,1,1,2,1,6,6,6,6,6,6,6,6,6,6,1,1,5,0,0,0,0,0,8,0,0,0,3,0,2,3,0,5,5,1,1,6,6,6,2,4,5,17,17,34,24,70000,9476,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1014_32",1014,32,1,2,2023,5,1,2,0,0,0,0,6,6,6,4,1,1,6,5,6,6,1,1,1,10000,0,0,0,0,4,4,14,1,5,0,1,3,0,5,5,1,0,6,3,6,0,4,99,17,17,12,27,413052,632,5,30,6,6,6,6,6,6,6,6,6,6,1,6,6,6,2
"1014_33",1014,33,1,2,2019,5,1,1,1,1,2,3,6,6,6,1,6,5,5,6,6,6,1,6,5,0,0,0,0,0,8,0,0,0,3,0,1,3,0,5,5,1,1,6,5,6,1,4,5,17,17,34,21,414000,9134,3,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1014_33",1014,33,1,2,2021,5,1,1,2,1,3,3,6,6,6,1,1,4,6,6,6,6,1,1,5,0,0,0,0,0,8,0,0,0,5,0,1,3,0,5,5,1,0,6,3,6,1,4,5,17,17,34,23,308800,4290,3,30,6,6,6,1,6,5,5,6,6,6,1,6,5,6,1
"1014_33",1014,33,1,2,2023,5,1,1,0,0,0,0,6,6,6,3,1,1,6,6,6,6,1,1,5,0,0,0,0,0,5,5,0,0,5,0,1,3,0,5,5,1,0,6,2,6,0,4,5,17,17,12,25,413052,632,3,30,6,6,6,1,1,4,6,6,6,6,1,6,3,6,1
"1014_34",1014,34,2,2,2019,1,1,1,1,1,1,1,6,6,6,6,6,5,6,5,6,6,1,7,5,0,0,0,0,0,4,4,0,0,1,0,1,3,0,5,5,1,1,6,6,6,3,9,5,17,17,34,18,414000,9134,4,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1014_34",1014,34,2,2,2021,5,1,2,1,1,1,3,5,6,5,5,1,2,5,5,5,6,1,7,5,0,0,0,0,0,6,5,0,0,1,0,1,3,0,5,5,1,0,5,3,6,3,9,5,17,17,34,20,308800,4290,4,30,6,6,6,6,6,5,6,5,6,6,1,6,6,6,3
"1014_34",1014,34,2,2,2023,1,1,1,1,1,2,3,6,6,6,1,1,1,6,5,6,6,1,1,5,0,0,0,0,0,5,5,0,0,5,0,1,3,0,5,5,1,0,6,2,5,0,4,5,17,17,12,22,413052,632,4,30,5,6,5,5,1,2,5,5,5,6,1,5,3,6,3
"1028_43",1028,43,2,2,2023,5,1,1,2,1,2,3,6,6,6,6,5,6,5,6,5,6,1,7,1,800,0,0,0,0,5,5,0,0,1,0,2,3,0,1,5,1,1,6,5,6,4,9,5,12,13,33,19,189325,4227,2,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
